# line thread mrep count
1 1 skip_list 14761025
2 1 cuckoo 14838282
3 1 prefixhash 14760332
4 1 hash_linkedlist 9244624
6 2 skip_list 10651022
7 2 cuckoo 25707676
8 2 prefixhash 25537321
9 2 hash_linkedlist 26577681
11 4 skip_list 62463432
12 4 cuckoo 52661343
13 4 prefixhash 36787522
14 4 hash_linkedlist 26116913
16 8 skip_list 46040772
17 8 cuckoo 55393046
18 8 prefixhash 46845555
19 8 hash_linkedlist 46001073
21 16 skip_list 207422757
22 16 cuckoo 125147518
23 16 prefixhash 88166023
24 16 hash_linkedlist 114373730
