# line thread mrep count
1 1 skip_list 2702718
2 1 cuckoo 2715552
3 1 prefixhash 2702584
4 1 hash_linkedlist 4215802
6 2 skip_list 6907478
7 2 cuckoo 7341386
8 2 prefixhash 7285051
9 2 hash_linkedlist 5829710
11 4 skip_list 10106309
12 4 cuckoo 11248101
13 4 prefixhash 13056539
14 4 hash_linkedlist 12519537
16 8 skip_list 30961592
17 8 cuckoo 30807276
18 8 prefixhash 30671511
19 8 hash_linkedlist 22915576
21 16 skip_list 49250243
22 16 cuckoo 47861318
23 16 prefixhash 59966760
24 16 hash_linkedlist 57847541
