# line thread mrep count
1 1 skip_list 5000000
2 1 cuckoo 5000000
3 1 prefixhash 5000000
4 1 hash_linkedlist 5000000
6 2 skip_list 10000000
7 2 cuckoo 10000000
8 2 prefixhash 10000000
9 2 hash_linkedlist 10000000
11 4 skip_list 20000000
12 4 cuckoo 20000000
13 4 prefixhash 20000000
14 4 hash_linkedlist 20000000
16 8 skip_list 40000000
17 8 cuckoo 40000000
18 8 prefixhash 40000000
19 8 hash_linkedlist 40000000
21 16 skip_list 80000000
22 16 cuckoo 80000000
23 16 prefixhash 80000000
24 16 hash_linkedlist 80000000
