# line thread mrep count
1 1 skip_list 4861722
2 1 cuckoo 4888216
3 1 prefixhash 4861397
4 1 hash_linkedlist 4941280
6 2 skip_list 9166294
7 2 cuckoo 9666059
8 2 prefixhash 9586928
9 2 hash_linkedlist 9823525
11 4 skip_list 18060544
12 4 cuckoo 18899596
13 4 prefixhash 18641826
14 4 hash_linkedlist 19415115
16 8 skip_list 39339966
17 8 cuckoo 39974926
18 8 prefixhash 38993295
19 8 hash_linkedlist 37917923
21 16 skip_list 74655773
22 16 cuckoo 79917822
23 16 prefixhash 76232144
24 16 hash_linkedlist 78455902
