# line thread mrep count
1 1 skip_list 451254
2 1 cuckoo 1672165
3 1 prefix_hash 711283
4 1 hash_linkedlist 753818
6 2 skip_list 740223
7 2 cuckoo 2296399
8 2 prefix_hash 1059103
9 2 hash_linkedlist 954905
11 4 skip_list 1545475
12 4 cuckoo 6416174
13 4 prefix_hash 1857307
14 4 hash_linkedlist 1141713
16 8 skip_list 2763054
17 8 cuckoo 12199406
18 8 prefix_hash 2776104
19 8 hash_linkedlist 1280498
21 16 skip_list 4634295
22 16 cuckoo 22559365
23 16 prefix_hash 4696926
24 16 hash_linkedlist 2445319
