# line thread mrep count
1 1 skip_list 205592698
2 1 cuckoo 24883
3 1 prefix_hash 23391
4 1 hash_linkedlist 23442
6 2 skip_list 169628517
7 2 cuckoo 22191
8 2 prefix_hash 198507
9 2 hash_linkedlist 291108
11 4 skip_list 209716875
12 4 cuckoo 17203
13 4 prefix_hash 2036417
14 4 hash_linkedlist 3143550
16 8 skip_list 109535358
17 8 cuckoo 259205
18 8 prefix_hash 5837565
19 8 hash_linkedlist 4344953
21 16 skip_list 5712715
22 16 cuckoo 1570775
23 16 prefix_hash 5750312
24 16 hash_linkedlist 6195108
