# line thread mrep count
1 1 skip_list 198633246
2 1 cuckoo 46732342
3 1 prefix_hash 43502246
4 1 hash_linkedlist 43838711
6 2 skip_list 358746537
7 2 cuckoo 34089321
8 2 prefix_hash 27805178
9 2 hash_linkedlist 29925873
11 4 skip_list 185791107
12 4 cuckoo 18505354
13 4 prefix_hash 14088168
14 4 hash_linkedlist 13115559
16 8 skip_list 180830896
17 8 cuckoo 9823987
18 8 prefix_hash 3623759
19 8 hash_linkedlist 5136006
21 16 skip_list 181545817
22 16 cuckoo 5970541
23 16 prefix_hash 1763439
24 16 hash_linkedlist 1317860
