# line thread mrep count
1 1 skip_list 32782365
2 1 cuckoo 36705487
3 1 prefix_hash 32392125
4 1 hash_linkedlist 32833234
6 2 skip_list 92573910
7 2 cuckoo 23409671
8 2 prefix_hash 19834059
9 2 hash_linkedlist 20232639
11 4 skip_list 8056137
12 4 cuckoo 9586587
13 4 prefix_hash 7529522
14 4 hash_linkedlist 7630038
16 8 skip_list 641101
17 8 cuckoo 1551115
18 8 prefix_hash 1036536
19 8 hash_linkedlist 1052498
21 16 skip_list 31035
22 16 cuckoo 52420
23 16 prefix_hash 25735
24 16 hash_linkedlist 25000
