# line thread mrep count
1 1 skip_list 71087488
2 1 cuckoo 66949649
3 1 prefix_hash 71274228
4 1 hash_linkedlist 70985847
6 2 skip_list 3366635
7 2 cuckoo 80422061
8 2 prefix_hash 84105337
9 2 hash_linkedlist 83867829
11 4 skip_list 96304952
12 4 cuckoo 94705188
13 4 prefix_hash 96921070
14 4 hash_linkedlist 96798605
16 8 skip_list 104142644
17 8 cuckoo 103105834
18 8 prefix_hash 103690960
19 8 hash_linkedlist 103672955
21 16 skip_list 104826565
22 16 cuckoo 104805180
23 16 prefix_hash 104831865
24 16 hash_linkedlist 104832600
