# line thread mrep count
1 1 skip_list 33770112
2 1 cuckoo 37907951
3 1 prefix_hash 33583372
4 1 hash_linkedlist 33871753
6 2 skip_list 101490965
7 2 cuckoo 24435539
8 2 prefix_hash 20752263
9 2 hash_linkedlist 20989771
11 4 skip_list 8552648
12 4 cuckoo 10152412
13 4 prefix_hash 7936530
14 4 hash_linkedlist 8058995
16 8 skip_list 714956
17 8 cuckoo 1751766
18 8 prefix_hash 1166640
19 8 hash_linkedlist 1184645
21 16 skip_list 31035
22 16 cuckoo 52420
23 16 prefix_hash 25735
24 16 hash_linkedlist 25000
